epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,14757.8,0.71947,0.95941,1.22678,0.99561,0.98769,0.99418,0.97975,0.18237,0.12766,0.75679,0.003862,0.003862,0.003862
95,14916.4,0.71792,0.95678,1.22226,0.99561,0.9879,0.99418,0.97986,0.18235,0.12794,0.75674,0.003796,0.003796,0.003796
96,15075,0.71909,0.96456,1.22771,0.99557,0.98815,0.99418,0.98029,0.18209,0.12757,0.75666,0.00373,0.00373,0.00373
97,15233,0.71999,0.95557,1.22364,0.99569,0.98791,0.99414,0.98024,0.18203,0.12733,0.75657,0.003664,0.003664,0.003664
98,15392.4,0.70344,0.93286,1.21389,0.99561,0.98802,0.99414,0.97984,0.18186,0.12713,0.75651,0.003598,0.003598,0.003598
99,15551.1,0.71955,0.95282,1.22445,0.99561,0.98803,0.99413,0.97976,0.18175,0.12702,0.75646,0.003532,0.003532,0.003532
100,15710,0.7119,0.94711,1.22168,0.99586,0.98803,0.99415,0.98033,0.18162,0.12704,0.75643,0.003466,0.003466,0.003466
101,15869.3,0.72038,0.95755,1.22924,0.99586,0.98804,0.99415,0.97989,0.18162,0.12706,0.75644,0.0034,0.0034,0.0034
102,16027.8,0.72255,0.95874,1.22691,0.9957,0.98815,0.99415,0.98081,0.18147,0.12712,0.75642,0.003334,0.003334,0.003334
103,16186.5,0.70761,0.93736,1.22041,0.9957,0.98767,0.99415,0.98073,0.18134,0.12704,0.75641,0.003268,0.003268,0.003268
104,16346.1,0.70976,0.94858,1.22006,0.99555,0.98791,0.99414,0.98043,0.18118,0.12702,0.75638,0.003202,0.003202,0.003202
105,16504.2,0.70634,0.93659,1.21593,0.99559,0.98815,0.99414,0.98088,0.18117,0.12711,0.75642,0.003136,0.003136,0.003136
106,16663.3,0.71544,0.95375,1.2253,0.99561,0.98812,0.99414,0.98088,0.18103,0.12719,0.7564,0.00307,0.00307,0.00307
107,16822.3,0.71611,0.95682,1.2237,0.99561,0.98804,0.99415,0.98092,0.18106,0.12708,0.75636,0.003004,0.003004,0.003004
108,16980.4,0.70473,0.93728,1.21647,0.99561,0.98817,0.99416,0.98098,0.18106,0.12709,0.75634,0.002938,0.002938,0.002938
109,17138.7,0.70167,0.93164,1.21555,0.99561,0.98814,0.99416,0.98101,0.1809,0.12676,0.75639,0.002872,0.002872,0.002872
110,17298.3,0.71017,0.94482,1.2193,0.99561,0.98811,0.99417,0.98094,0.18086,0.12647,0.75633,0.002806,0.002806,0.002806
111,17458.7,0.70412,0.93483,1.21556,0.99561,0.98806,0.99416,0.98101,0.18075,0.12652,0.75628,0.00274,0.00274,0.00274
112,17618.5,0.71448,0.94712,1.22238,0.99561,0.98796,0.99416,0.98102,0.1808,0.12661,0.75623,0.002674,0.002674,0.002674
113,17778.2,0.70315,0.93391,1.21445,0.9957,0.98791,0.99416,0.98102,0.18066,0.12645,0.7562,0.002608,0.002608,0.002608
114,17937.2,0.70608,0.93876,1.21595,0.99571,0.98791,0.99416,0.98106,0.18066,0.12631,0.75615,0.002542,0.002542,0.002542
115,18096.7,0.70665,0.9365,1.21521,0.99575,0.98791,0.99417,0.98103,0.1806,0.1265,0.75618,0.002476,0.002476,0.002476
116,18255.1,0.69842,0.93006,1.20978,0.99596,0.98791,0.99416,0.98096,0.18057,0.1264,0.75612,0.00241,0.00241,0.00241
117,18415.1,0.70154,0.93199,1.21366,0.99595,0.98791,0.99416,0.98092,0.18054,0.12617,0.75612,0.002344,0.002344,0.002344
118,18573.7,0.69878,0.92707,1.21036,0.99599,0.98791,0.99416,0.98058,0.18054,0.12628,0.75612,0.002278,0.002278,0.002278
119,18732.7,0.69943,0.93051,1.21318,0.99605,0.98791,0.99416,0.98095,0.18055,0.12637,0.75613,0.002212,0.002212,0.002212
120,18892.2,0.70271,0.93503,1.2159,0.99607,0.98791,0.99417,0.98071,0.18048,0.12636,0.75613,0.002146,0.002146,0.002146
